epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,663.103,1.08048,4.1083,1.69038,0,0,0,0,0.60425,4.9465,1.31544,0.00010564,0.00010564,0.00010564
2,1339.28,0.7957,3.80791,1.42939,0.08148,0.51852,0.1963,0.1755,0.53877,4.88799,1.40179,0.000209684,0.000209684,0.000209684
3,1912.61,0.84001,3.47305,1.45057,0.0354,1,0.31085,0.2789,0.60187,4.76413,1.36492,0.000306389,0.000306389,0.000306389
4,2474.57,0.93667,3.11654,1.55727,0.88779,0.22222,0.40118,0.36193,0.69753,4.2686,1.45531,0.000395755,0.000395755,0.000395755
5,3004.66,0.92218,2.79608,1.50461,0.74328,0.38889,0.73069,0.58479,0.81529,4.15133,1.54206,0.000477782,0.000477782,0.000477782
6,3578.11,0.8787,2.59916,1.45909,0.61519,0.62715,0.79914,0.70909,0.62342,3.50919,1.2743,0.00046426,0.00046426,0.00046426
7,4112.33,0.85576,2.40592,1.44533,0.78464,0.55556,0.85035,0.75186,0.90311,3.42144,1.57065,0.000445912,0.000445912,0.000445912
8,4634.17,0.84722,2.1892,1.42202,0.53563,0.75072,0.78419,0.64204,0.81863,3.02435,1.5121,0.000427564,0.000427564,0.000427564
9,5260.37,0.85592,2.0094,1.40768,0.64437,0.85816,0.88417,0.7732,0.69165,2.65285,1.43323,0.000409216,0.000409216,0.000409216
10,5778.63,0.81998,1.90998,1.40309,0.50412,0.83333,0.8475,0.74042,0.62753,2.72957,1.31996,0.000390868,0.000390868,0.000390868
11,6268.26,0.81802,1.87109,1.38251,0.62895,0.83333,0.95796,0.82628,0.68066,2.42429,1.3016,0.00037252,0.00037252,0.00037252
12,6757.86,0.76849,1.67298,1.32954,0.61608,0.88889,0.90639,0.85433,0.59824,2.15822,1.24791,0.000354172,0.000354172,0.000354172
13,7217.34,0.72749,1.61495,1.30606,0.73076,0.83333,0.91964,0.8506,0.6216,2.09869,1.27957,0.000335824,0.000335824,0.000335824
14,7678.04,0.71459,1.53645,1.30043,0.76738,0.92319,0.995,0.8635,0.69747,1.82912,1.3621,0.000317476,0.000317476,0.000317476
15,8140.78,0.69862,1.49528,1.2773,0.92393,0.88889,0.995,0.93241,0.46869,1.48779,1.15151,0.000299128,0.000299128,0.000299128
16,8599.61,0.66134,1.36564,1.25551,0.85361,0.94124,0.995,0.91964,0.49052,1.44258,1.15676,0.00028078,0.00028078,0.00028078
17,9057.11,0.68068,1.33804,1.2663,0.86567,0.93777,0.96722,0.88258,0.55702,1.48973,1.19945,0.000262432,0.000262432,0.000262432
18,9514.5,0.67814,1.29158,1.26223,0.89263,0.91604,0.96722,0.86228,0.58757,1.36565,1.20827,0.000244084,0.000244084,0.000244084
19,9971.37,0.68257,1.2638,1.23974,0.90781,0.95196,0.995,0.90957,0.47891,1.28794,1.08482,0.000225736,0.000225736,0.000225736
20,10428.4,0.652,1.25075,1.22654,0.86257,0.94926,0.995,0.90481,0.47381,1.25796,1.12409,0.000207388,0.000207388,0.000207388
21,10908.4,0.62668,1.48974,1.33042,0.71704,0.96972,0.995,0.85905,0.73189,1.87509,1.37238,0.00018904,0.00018904,0.00018904
22,11381.6,0.58129,1.39436,1.28393,0.93562,0.94444,0.96722,0.90737,0.51784,1.30593,1.12439,0.000170692,0.000170692,0.000170692
23,11839.4,0.54011,1.26437,1.26267,0.91908,0.94432,0.995,0.90992,0.49828,1.30057,1.1009,0.000152344,0.000152344,0.000152344
24,12300.4,0.50854,1.18945,1.2205,0.96233,0.94951,0.995,0.92745,0.48187,1.21601,1.13719,0.000133996,0.000133996,0.000133996
25,12759,0.50148,1.15045,1.20634,0.97232,0.94935,0.995,0.94369,0.39714,1.10603,1.01844,0.000115648,0.000115648,0.000115648
26,13218.8,0.48851,1.1064,1.20412,0.95887,0.95655,0.995,0.94431,0.35773,1.0784,0.96531,9.73e-05,9.73e-05,9.73e-05
27,13683.1,0.47251,1.06816,1.17196,0.96867,0.95389,0.995,0.95814,0.36118,1.07814,0.96623,7.8952e-05,7.8952e-05,7.8952e-05
28,14142.2,0.44048,1.05712,1.16723,0.96469,0.95321,0.995,0.94706,0.36757,1.06756,1.00337,6.0604e-05,6.0604e-05,6.0604e-05
29,14611.3,0.43917,1.05405,1.1463,0.96973,0.95125,0.995,0.95259,0.34849,1.05663,0.9865,4.2256e-05,4.2256e-05,4.2256e-05
30,15078,0.42567,0.99158,1.13989,0.97205,0.95092,0.995,0.95414,0.34129,1.05331,0.98473,2.3908e-05,2.3908e-05,2.3908e-05
