epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0724,0.01993,23.1742,2.08048,0.01951,0.047,0.00194,0.001,0.01364,6.54089,1.36985,5.57838e-05,5.57838e-05,5.57838e-05
2,74.7541,0.01227,6.76802,1.33218,0.42348,0.06909,0.03913,0.01806,0.01063,4.04831,1.1951,0.000111997,0.000111997,0.000111997
3,112.138,0.0116,5.31242,1.27712,0.47725,0.14218,0.10623,0.05982,0.01031,3.35339,1.18486,0.000167076,0.000167076,0.000167076
4,145.432,0.01098,4.33932,1.20195,0.37087,0.2466,0.14259,0.07699,0.01052,2.8992,1.20579,0.000166892,0.000166892,0.000166892
5,177.416,0.01085,3.77602,1.27863,0.26377,0.30072,0.19085,0.10422,0.01059,2.6005,1.24561,0.000165189,0.000165189,0.000165189
6,209.331,0.0107,3.31975,1.2342,0.32391,0.39134,0.28247,0.14411,0.0113,2.38419,1.33326,0.000163486,0.000163486,0.000163486
7,242.723,0.01038,2.96364,1.27587,0.27935,0.43516,0.34021,0.17026,0.01118,2.16781,1.33034,0.000161783,0.000161783,0.000161783
8,276.077,0.0104,2.81467,1.23005,0.36504,0.39883,0.31072,0.16327,0.01099,2.25597,1.32267,0.00016008,0.00016008,0.00016008
9,309.071,0.01029,2.65743,1.24518,0.34274,0.50904,0.41018,0.22167,0.01066,1.98039,1.25991,0.000158378,0.000158378,0.000158378
10,339.878,0.01031,2.47418,1.22802,0.39064,0.54293,0.44706,0.23492,0.01103,1.92401,1.32211,0.000156675,0.000156675,0.000156675
11,371.843,0.01021,2.35399,1.23987,0.38048,0.55688,0.45343,0.25391,0.0104,1.94141,1.27351,0.000154972,0.000154972,0.000154972
12,405.052,0.01022,2.27087,1.22661,0.44811,0.48631,0.48188,0.27957,0.0103,1.80484,1.2259,0.000153269,0.000153269,0.000153269
13,438.25,0.01015,2.20939,1.22853,0.49369,0.51713,0.52149,0.28926,0.01035,1.84363,1.24261,0.000151566,0.000151566,0.000151566
14,470.532,0.00999,2.10153,1.22871,0.3868,0.60893,0.54044,0.30833,0.0102,1.71258,1.24013,0.000149864,0.000149864,0.000149864
15,502.207,0.01004,2.01555,1.22227,0.51015,0.5557,0.58602,0.35041,0.01022,1.6647,1.2165,0.000148161,0.000148161,0.000148161
16,535.234,0.00994,1.93159,1.23112,0.44291,0.59433,0.56683,0.32122,0.01018,1.68572,1.26085,0.000146458,0.000146458,0.000146458
17,568.765,0.01007,1.94571,1.20683,0.54689,0.58335,0.60907,0.36073,0.00996,1.62132,1.21002,0.000144755,0.000144755,0.000144755
18,601.952,0.01005,1.84554,1.20371,0.51792,0.6116,0.60317,0.32847,0.01062,1.60756,1.28205,0.000143052,0.000143052,0.000143052
19,632.703,0.0099,1.82918,1.22165,0.60569,0.61934,0.66986,0.37557,0.0104,1.47549,1.25998,0.00014135,0.00014135,0.00014135
20,664.731,0.00971,1.7212,1.20007,0.52893,0.61482,0.6362,0.36994,0.00992,1.538,1.23238,0.000139647,0.000139647,0.000139647
21,697.719,0.00982,1.71268,1.22872,0.57866,0.65636,0.67375,0.35913,0.01092,1.45697,1.31363,0.000137944,0.000137944,0.000137944
22,730.372,0.00962,1.66391,1.21116,0.56775,0.70664,0.70245,0.38712,0.01058,1.41331,1.29745,0.000136241,0.000136241,0.000136241
