epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0498,2.64362,15.1107,2.64906,0,0,0,0,1.60313,9.62502,1.88823,5.6087e-05,5.6087e-05,5.6087e-05
2,77.2755,1.4971,6.39882,1.6587,0.03462,0.57812,0.10712,0.04686,1.56988,4.2053,1.70181,0.000110613,0.000110613,0.000110613
3,110.103,1.3369,5.02111,1.50453,0.17177,0.50075,0.26996,0.13188,1.58286,3.58376,1.71153,0.000162301,0.000162301,0.000162301
4,136.991,1.25397,4.00604,1.43072,0.43197,0.44428,0.50621,0.32945,1.24357,2.98146,1.51704,0.000159229,0.000159229,0.000159229
5,166.628,1.23758,3.3596,1.46435,0.54758,0.62434,0.65154,0.39207,1.46424,2.54312,1.65446,0.000154972,0.000154972,0.000154972
6,193.857,1.25296,2.87311,1.43107,0.4827,0.7367,0.76607,0.42751,1.62139,2.11972,1.75921,0.000150715,0.000150715,0.000150715
7,222.457,1.215,2.60717,1.40874,0.59455,0.73993,0.79943,0.52977,1.30295,1.99116,1.48565,0.000146458,0.000146458,0.000146458
8,250.639,1.16082,2.23391,1.39435,0.67711,0.73214,0.85022,0.53632,1.37849,1.88663,1.54055,0.000142201,0.000142201,0.000142201
9,278.306,1.15081,2.00257,1.38217,0.70632,0.78501,0.80705,0.54524,1.29492,1.79687,1.45933,0.000137944,0.000137944,0.000137944
10,310.155,1.09588,1.83661,1.33751,0.60264,0.8705,0.89072,0.60105,1.28202,1.6519,1.45904,0.000133687,0.000133687,0.000133687
11,337.078,1.09282,1.67332,1.33263,0.7235,0.77835,0.89129,0.55586,1.43779,1.5655,1.61703,0.00012943,0.00012943,0.00012943
12,366.2,1.08778,1.52886,1.35163,0.67636,0.9375,0.94523,0.64733,1.26347,1.32321,1.50964,0.000125173,0.000125173,0.000125173
13,393.142,1.08761,1.44599,1.34458,0.82336,0.86312,0.96391,0.64027,1.33166,1.27897,1.59649,0.000120916,0.000120916,0.000120916
14,422.037,1.0364,1.32708,1.32198,0.69545,0.9485,0.96391,0.66436,1.24352,1.17706,1.50813,0.000116659,0.000116659,0.000116659
15,448.402,1.02855,1.25685,1.29645,0.77039,0.89295,0.96391,0.68242,1.2398,1.23697,1.46543,0.000112402,0.000112402,0.000112402
16,477.731,0.98679,1.08988,1.26072,0.81492,0.92033,0.96391,0.67581,1.28142,1.12356,1.50787,0.000108145,0.000108145,0.000108145
17,506.585,0.99083,1.123,1.27111,0.77343,0.88928,0.96391,0.69875,1.15761,1.14923,1.41915,0.000103888,0.000103888,0.000103888
18,536.11,0.99056,1.07607,1.30006,0.87569,0.85232,0.96391,0.6985,1.13498,1.14782,1.40586,9.9631e-05,9.9631e-05,9.9631e-05
19,563.275,0.97536,1.0407,1.25957,0.78511,0.95107,0.96391,0.68869,1.16263,1.08107,1.41412,9.5374e-05,9.5374e-05,9.5374e-05
20,591.195,0.9663,0.9833,1.26109,0.85135,0.91459,0.96391,0.69079,1.2241,1.02315,1.4621,9.1117e-05,9.1117e-05,9.1117e-05
21,620.376,0.92109,0.94982,1.21968,0.83967,0.95822,0.96391,0.72473,1.06983,1.01179,1.36559,8.686e-05,8.686e-05,8.686e-05
22,648.466,0.94355,0.92164,1.23048,0.8806,0.90172,0.96391,0.7256,1.09137,0.99259,1.33363,8.2603e-05,8.2603e-05,8.2603e-05
23,677.356,0.89689,0.88729,1.2302,0.86326,0.92707,0.96391,0.70813,1.10077,0.97693,1.34976,7.8346e-05,7.8346e-05,7.8346e-05
